Entity,Code,Year,Homosexual activity (historical)
Bangladesh,BGD,2008,"Illegal, prison or other penalty"
Bangladesh,BGD,2009,"Illegal, prison or other penalty"
Bangladesh,BGD,2010,"Illegal, prison or other penalty"
Bangladesh,BGD,2011,"Illegal, prison or other penalty"
Bangladesh,BGD,2012,"Illegal, prison or other penalty"
Bangladesh,BGD,2013,"Illegal, prison or other penalty"
Bangladesh,BGD,2014,"Illegal, prison or other penalty"
Bangladesh,BGD,2015,"Illegal, prison or other penalty"
Bangladesh,BGD,2016,"Illegal, prison or other penalty"
Bangladesh,BGD,2017,"Illegal, prison or other penalty"
Bangladesh,BGD,2018,"Illegal, prison or other penalty"
Bangladesh,BGD,2019,"Illegal, prison or other penalty"
Bangladesh,BGD,2020,"Illegal, prison or other penalty"
Bangladesh,BGD,2021,"Illegal, prison or other penalty"
Bangladesh,BGD,2022,"Illegal, prison or other penalty"
Bangladesh,BGD,2023,"Illegal, prison or other penalty"
Bangladesh,BGD,2024,"Illegal, prison or other penalty"
Barbados,BRB,2017,"Male illegal, female legal or uncertain"
Barbados,BRB,2022,Legal
Barbados,BRB,2023,Legal
Barbados,BRB,2024,Legal
Belarus,BLR,1950,"Male illegal, female legal or uncertain"
Belarus,BLR,1951,"Male illegal, female legal or uncertain"
Belarus,BLR,1952,"Male illegal, female legal or uncertain"
Belarus,BLR,1953,"Male illegal, female legal or uncertain"
Belarus,BLR,1954,"Male illegal, female legal or uncertain"
Belarus,BLR,1955,"Male illegal, female legal or uncertain"
Belarus,BLR,1956,"Male illegal, female legal or uncertain"
Belarus,BLR,1957,"Male illegal, female legal or uncertain"
Belarus,BLR,1958,"Male illegal, female legal or uncertain"
Belarus,BLR,1959,"Male illegal, female legal or uncertain"
Belarus,BLR,1960,"Male illegal, female legal or uncertain"
Belarus,BLR,1961,"Male illegal, female legal or uncertain"
Belarus,BLR,1962,"Male illegal, female legal or uncertain"
Belarus,BLR,1963,"Male illegal, female legal or uncertain"
Belarus,BLR,1964,"Male illegal, female legal or uncertain"
Belarus,BLR,1965,"Male illegal, female legal or uncertain"
Belarus,BLR,1966,"Male illegal, female legal or uncertain"
Belarus,BLR,1967,"Male illegal, female legal or uncertain"
Belarus,BLR,1968,"Male illegal, female legal or uncertain"
Belarus,BLR,1969,"Male illegal, female legal or uncertain"
